TREEID,COMMONNAME,LATINNAME,SPECIES,SPECIESCODE,SPECIESNAME,GENUS,GENUSENGLISH,LEAFCYCLE,LEAFTYPE,MATHEIGHT,MATWIDTH,FORM,FALLCOLOR,FLOWER,FRUIT,WATERNEED
1,White fir,Abies concolor,concolor,ABCO,"Fir, White",Abies,fir,Evergreen,Needleleaved,40-70,,,,,,medium
2,Subalpine fir,Abies lasiocarpa,lasiocarpa,ABLA,"Fir, Subalpine",Abies,fir,Evergreen,Needleleaved,,,,,,,
3,fir unknown species,Abies spp,spp,AB,Fir unknown species,Abies,fir,Evergreen,Needleleaved,,,,,,,
4,Hedge maple,Acer campestre,campestre,ACCA,"Maple, Hedge",Acer,maple,Deciduous,Broadleaved,25-35,25-35,oval ,yellow,,samara,low to medium
5,Amur maple,Acer ginnala,ginnala,ACGI,"Maple, Amur",Acer,maple,Deciduous,Broadleaved,,,,,,,
6,Rocky Mountain maple,Acer glabrum,glabrum,ACGL,"Maple, Rocky Mountain",Acer,maple,Deciduous,Broadleaved,20-25,10-15,rounded ,"orange, red",,samara,medium to high
7,Bigtooth maple,Acer grandidentatum,grandidentatum,ACGR3,"Maple, Bigtooth",Acer,maple,Deciduous,Broadleaved,20-25,15-25,rounded,"orange, yellow",,samara,low to medium
8,Paperbark maple,Acer griseum,griseum,ACGR,"Maple, Paperbark",Acer,maple,Deciduous,Broadleaved,,,,,,,
9,Boxelder,Acer negundo,negundo,ACNE,Boxelder,Acer,maple,Deciduous,Broadleaved,30-50,30-50,rounded,yellow,,seedless,low to medium
10,Variegated boxelder,Acer negundo,negundo,ACNE,"Boxelder, Variegated",Acer,maple,Deciduous,Broadleaved,,,,,,,
11,Black maple,Acer nigrum,nigrum,ACNI,"Maple, Black",Acer,maple,Deciduous,Broadleaved,,,,,,,
12,Japanese maple,Acer palmatum,palmatum,ACPA,"Maple, Japanese",Acer,maple,Deciduous,Broadleaved,,,,,,,
13,Norway maple,Acer platanoides,platanoides,ACPL,"Maple, Norway",Acer,maple,Deciduous,Broadleaved,,,,,,,
14,Sycamore maple,Acer pseudoplatanus,pseudoplatanus,ACPS,"Maple, Sycamore",Acer,maple,Deciduous,Broadleaved,,,,,,,
15,Red maple,Acer rubrum,rubrum,ACRU,"Maple, Red",Acer,maple,Deciduous,Broadleaved,,,,,,,
16,Silver maple,Acer saccharinum,saccharinum,ACSA1,"Maple, Silver",Acer,maple,Deciduous,Broadleaved,,,,,,,
17,Sugar maple,Acer saccharum,saccharum,ACSA2,"Maple, Sugar",Acer,maple,Deciduous,Broadleaved,40-80,30-60,rounded,orange,,samara,medium
18,maple unknown species,Acer spp,spp,AC,Maple unknown species,Acer,maple,Deciduous,Broadleaved,,,,,,,
19,Tatarian maple,Acer tataricum,tataricum,ACTA,"Maple, Tatarian",Acer,maple,Deciduous,Broadleaved,20-25,15-20,rounded ,"red, yellow",white clusters,samara,low to medium
20,Freeman maple,Acer x freemanii,x freemanii,ACFR,"Maple, Freeman",Acer,maple,Deciduous,Broadleaved,,,,,,,
21,Autumn Blaze maple,Acer x freemanii,x freemanii,ACFRJE,"Maple, Freeman Autumn Blaze",Acer,maple,Deciduous,Broadleaved,,,,,,,
22,Yellow buckeye,Aesculus flava,flava,AEFL,"Buckeye, Yellow",Aesculus,buckeye,Deciduous,Broadleaved,50-75,30-50,rounded,,yellow clusters,nut,medium
23,Ohio buckeye,Aesculus glabra,glabra,AEGL,"Buckeye, Ohio",Aesculus,buckeye,Deciduous,Broadleaved,20-40,20-40,rounded,"red, orange",white clusters,nut,medium
24,Common horsechestnut,Aesculus hippocastanum,hippocastanum,AEHI,"Horsechestnut, Common",Aesculus,buckeye,Deciduous,Broadleaved,50-75,40-65,rounded,yellow ,pink clusters,nut,medium
25,Red horsechestnut,Aesculus x carnea,x carnea,AECA,"Horsechestnut, Red",Aesculus,buckeye,Deciduous,Broadleaved,30-40,25-35,rounded,yellow,pink clusters,nut,medium
26,Tree-of-Heaven,Ailanthus altissima,altissima,AIAL,Tree-of-Heaven,Ailanthus,Tree-of-Heaven,Deciduous,Broadleaved,,,,,,,
27,Grey alder,Alnus incana,incana,ALIN,"Alder, Grey",Alnus,alder,Deciduous,Broadleaved,,,,,,,
28,Red alder,Alnus rubra,rubra,ALRU2,"Alder, Red",Alnus,alder,Deciduous,Broadleaved,,,,,,,
29,alder unknown species,Alnus spp,spp,AL,Alder unknown species,Alnus,alder,Deciduous,Broadleaved,,,,,,,
30,Shadblow Serviceberry,Amelanchier canadensis,canadensis,AMCA,"Serviceberry, Shadblow",Amelanchier,Serviceberry,Deciduous,Broadleaved,,,,,,,
31,River birch,Betula nigra,nigra,BENI,"Birch, River",Betula,birch,Deciduous,Broadleaved,,,,,,,
32,Water birch,Betula occidentalis,occidentalis,BEOC,"Birch, Water",Betula,birch,Deciduous,Broadleaved,,,,,,,
33,Paper birch,Betula papyrifera,papyrifera,BEPA,"Birch, Paper",Betula,birch,Deciduous,Broadleaved,,,,,,,
34,European White birch,Betula pendula,pendula,BEPE,"Birch, European White",Betula,birch,Deciduous,Broadleaved,,,,,,,
35,birch unknown species,Betula spp,spp,BE,Birch unknown species,Betula,birch,Deciduous,Broadleaved,,,,,,,
36,Incense cedar,Calocedrus decurrens,decurrens,CADE2,Incense Cedar,Calocedrus,Incense cedar,Evergreen,Needleleaved,,,,,,,
37,Weeping Siberian peashrub,Caragana arborescens,arborescens,CAAR,"Peashrub, Siberian Pendula",Caragana,peashrub,Deciduous,Broadleaved,,,,,,,
38,Upright European hornbeam,Carpinus betulus,betulus,CABE,"Hornbeam, European Upright Fastigiata",Carpinus,hornbeam,Deciduous,Broadleaved,,,,,,,
39,hornbeam unknown species,Carpinus spp,spp,CA40,Hornbeam unknown species,Carpinus,hornbeam,Deciduous,Broadleaved,,,,,,,
40,Shagbark hickory,Carya ovata,ovata,CAOV,"Hickory, Shagbark",Carya,hickory,Deciduous,Broadleaved,,,,,,,
41,hickory unknown species,Carya spp,spp,CA1,Hickory unknown species,Carya,hickory,Deciduous,Broadleaved,,,,,,,
42,Southern catalpa,Catalpa bignonioides,bignonioides,CABI,"Catalpa, Southern",Catalpa,catalpa,Deciduous,Broadleaved,,,,,,,
43,Western catalpa,Catalpa speciosa,speciosa,CASP,"Catalpa, Western",Catalpa,catalpa,Deciduous,Broadleaved,50-70,30-50,"oval, irregular",yellow,"white, orchid-like",bean pod,low to medium
44,Chinese catalpa,Catalpa ovata,ovata,CAOV3,"Catalpa, Chinese",Catalpa,catalpa,Deciduous,Broadleaved,,,,,,,
45,Blue Atlas cedar,Cedrus atlantica,atlantica,CEATGL,"Cedar, Blue Atlas Glauca",Cedrus,cedar,Evergreen,Needleleaved,40-60,,,,,,medium
46,Sugarberry,Celtis laevigata,laevigata,CELA,Sugarberry,Celtis,hackberry,Deciduous,Broadleaved,,,,,,,
47,Northern hackberry,Celtis occidentalis,occidentalis,CEOC,"Hackberry, Northern",Celtis,hackberry,Deciduous,Broadleaved,40-60,40-60,rounded,yellow,,drupe,low to medium
48,Netleaf hackberry,Celtis laevigata,laevigata,CELA,"Hackberry, Netleaf Reticulata",Celtis,hackberry,Deciduous,Broadleaved,,,,,,,
49,hackberry unknown species,Celtis spp,spp,CE2,Hackberry unknown species,Celtis,hackberry,Deciduous,Broadleaved,,,,,,,
50,Katsura tree,Cercidiphyllum japonicum,japonicum,CEJA,Katsura tree,Cercidiphyllum,Katsura tree,Deciduous,Broadleaved,,,,,,,
51,Eastern redbud,Cercis canadensis,canadensis,CECA,"Redbud, Eastern",Cercis,redbud,Deciduous,Broadleaved,15-25,20-30,rounded,yellow,pink to purple,seed pod,medium to high
52,Mountain-mahogany,Cercocarpus spp,spp,CE3,Mountain-mahogany,Cercocarpus,Mountain-mahogany,Deciduous,Broadleaved,,,,,,,
53,falsecypress unknown species,Chamaecyparis spp,spp,CH,Falsecypress unknown species,Chamaecyparis,falsecypress,Evergreen,Needleleaved,,,,,,,
54,Yellowwood,Cladrastis kentukea,kentukea,CLLU,Yellowwood,Cladrastis,Yellowwood,Deciduous,Broadleaved,30-50,30-50,rounded,yellow,white clusters,seed pod,medium
55,Flowering dogwood,Cornus florida,florida,COFL,"Dogwood, Flowering",Cornus,dogwood,Deciduous,Broadleaved,,,,,,,
56,Cornelian Cherry dogwood,Cornus mas,mas,COMA,"Dogwood, Cornelian Cherry",Cornus,dogwood,Deciduous,Broadleaved,,,,,,,
57,dogwood unknown species,Cornus spp,spp,CO1,Dogwood unknown species,Cornus,dogwood,Deciduous,Broadleaved,,,,,,,
58,Turkish filbert,Corylus colurna,colurna,COCO2,"Filbert, Turkish",Corylus,filbert,Deciduous,Broadleaved,40-50,15-35,pyrimidal,bronze,,"nut, edible",low to medium
59,Smoke tree,Cotinus coggygria,coggygria,COCO1,Smoke tree,Cotinus,Smoke tree,Deciduous,Broadleaved,,,,,,,
60,Russian hawthorn,Crataegus ambigua,ambigua,CRPH,"Hawthorn, Russian",Crataegus,hawthorn,Deciduous,Broadleaved,15-30,15-20,rounded,"orange, yellow",white,berry,low
61,Cockspur hawthorn,Crataegus crus-galli,crus-galli,CRCR,"Hawthorn, Cockspur",Crataegus,hawthorn,Deciduous,Broadleaved,20-30,20-35,rounded,orange,white,berry,low to medium
62,Thornless Cockspur hawthorn,Crataegus crus-galli,crus-galli,CRCRIN,"Hawthorn, Cockspur Thornless",Crataegus,hawthorn,Deciduous,Broadleaved,20-30,20-35,rounded,orange,white,berry,low to medium
63,Smooth hawthorn,Crataegus laevigata,laevigata,CRLA80,"Hawthorn, Smooth",Crataegus,hawthorn,Deciduous,Broadleaved,20-25,15-20,rounded,yellow,red,berry,medium
64,Downy hawthorn,Crataegus mollis,mollis,CRMO1,"Hawthorn, Downy",Crataegus,hawthorn,Deciduous,Broadleaved,20-25,20-25,rounded,red,white,berry,low to medium
65,Oneseed hawthorn,Crataegus monogyna,monogyna,CROX,"Hawthorn, Oneseed",Crataegus,hawthorn,Deciduous,Broadleaved,,,,,,,
66,Washington hawthorn,Crataegus phaenopyrum,phaenopyrum,CRPH,"Hawthorn, Washington",Crataegus,hawthorn,Deciduous,Broadleaved,,,,,,,
67,hawthorn unknown species,Crataegus spp,spp,CR,Hawthorn unknown species,Crataegus,hawthorn,Deciduous,Broadleaved,,,,,,,
68,Arizona cypress,Cupressus arizonica,arizonica,CUAR,"Cypress, Arizona",Cupressus,cypress,Evergreen,Needleleaved,,,,,,,
69,cypress unknown species,Cupressus spp,spp,CU,Cypress unknown species,Cupressus,cypress,Evergreen,Needleleaved,,,,,,,
70,Common persimmon,Diospyros virginiana,virginiana,DIVI,"Persimmon, Common",Diospyros,persimmon,Deciduous,Broadleaved,,,,,,,
71,Russian-olive,Elaeagnus angustifolia,angustifolia,ELAN,Russian-olive,Elaeagnus,Russian-olive,Deciduous,Broadleaved,,,,,,,
72,spindletree unknown species,Euonymus spp,spp,EUSP,Spindletree unknown species,Euonymus,spindletree,Deciduous,Broadleaved,,,,,,,
73,American beech,Fagus grandifolia,grandifolia,FAGR,"Beech, American",Fagus,beech,Deciduous,Broadleaved,,,,,,,
74,beech unknown species,Fagus spp,spp,FA,Beech unknown species,Fagus,beech,Deciduous,Broadleaved,,,,,,,
75,European beech,Fagus sylvatica,sylvatica,FASY,"Beech, European",Fagus,beech,Deciduous,Broadleaved,,,,,,,
76,White ash,Fraxinus americana,americana,FRAM,"Ash, White",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
77,Narrow-leafed ash,Fraxinus angustifolia,angustifolia,FRAN2,"Ash, Narrow-leafed",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
78,European ash,Fraxinus excelsior,excelsior,FREX,"Ash, European",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
79,Manchurian ash,Fraxinus mandshurica,mandshurica,FRMA,"Ash, Manchurian",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
80,Black ash,Fraxinus nigra,nigra,FRNI,"Ash, Black",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
81,Green ash,Fraxinus pennsylvanica,pennsylvanica,FRPE,"Ash, Green",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
82,Blue ash,Fraxinus quadrangulata,quadrangulata,FRQU,"Ash, Blue",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
83,ash unknown species,Fraxinus spp,spp,FR,Ash unknown species,Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
84,Modesto Velvet ash,Fraxinus velutina,velutina,FRVEMO,"Ash, Velvet Modesto",Fraxinus,ash,Deciduous,Broadleaved,,,,,,,
